parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_life_stage,Middle aged adult
analysis_id,34x76k68348346v
mouse_strain,C57BL
pvalue,0.7529627
