parameter_name,Hindlimb digit - size
mouse_strain,C57BL
pvalue,0.2410387
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
parameter_id,IMPC_CSD_047_001
analysis_id,b15h073cqnt5td5
