analysis_id,623s9951383cp60
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_id,IMPC_HEM_005_001
pvalue,0.4777684
mouse_life_stage,E15.5
parameter_name,Mean cell volume
gene_symbol,Mapkap1
