gene_symbol,Fpgs
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:95576
mouse_strain,C57BL
pvalue,0.6686394
analysis_id,c87d99vsr0dbz81
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
