parameter_name,Alanine aminotransferase
analysis_id,b9k1vcv66p745l9
pvalue,0.4925111
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
gene_symbol,Atf3
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
