parameter_name,DN CD44+CD62L- NKT cells
parameter_id,IMPC_IMM_046_001
mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,6puts30gmvaip52
mouse_life_stage,Early adult
pvalue,0.8080083
gene_symbol,Cds2
