gene_symbol,Lrrc69
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.2401516
analysis_id,w85wip4r467q2d7
mouse_life_stage,Early adult
gene_accession_id,MGI:1920564
