gene_symbol,Dnajc5b
parameter_id,IMPC_IPG_010_001
mouse_strain,C57BL
analysis_id,h766954cgtikg4t
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_name,Fasted blood glucose concentration
pvalue,0.1585447
