analysis_id,69nvh7lf9706w9u
mouse_strain,C57BL
pvalue,0.4754002
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
parameter_name,Eye
gene_symbol,Ift74
parameter_id,M-G-P_013_001_001
