analysis_id,z9a293u33t8b01h
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_name,Periphery average speed
gene_accession_id,MGI:2448481
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
pvalue,0.3219277
