analysis_id,84u5m9fz8htvo7r
pvalue,0.4549331
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
