gene_symbol,Usp37
analysis_id,7hoj6a9i6b0700y
mouse_strain,C57BL
pvalue,0.7100904
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,IMPC_DXA_007_001
