parameter_name,Joints
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
analysis_id,6ulh156906v2016
gene_accession_id,MGI:88328
mouse_strain,C57BL
gene_symbol,Tnfsf8
pvalue,0.2233823
