analysis_id,70013s403v27mzc
parameter_name,Global prepulse inhibition
pvalue,0.3254378
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
gene_symbol,Tox
