analysis_id,79096iv892p81lu
pvalue,0.4665553
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
gene_symbol,Mapkap1
parameter_id,IMPC_CBC_014_001
