parameter_name,Midbrain
pvalue,0.3413925
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:3033992
analysis_id,s55iponce671tg8
gene_symbol,Cldn19
mouse_strain,C57BL
