parameter_name,Vocalization
mouse_strain,C57BL
pvalue,0.9708782
gene_accession_id,MGI:99501
parameter_id,IMPC_CSD_078_001
analysis_id,6693jvlvzk4bp60
gene_symbol,Fgb
mouse_life_stage,E15.5
