analysis_id,163qv32z36097qs
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Average duration
parameter_id,JAX_ROT_002_001
mouse_life_stage,E18.5
pvalue,0.7872381
