parameter_name,Clavicle
analysis_id,c60fo6x3hw3xu6z
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
parameter_id,IMPC_XRY_007_001
pvalue,0.07794956
gene_symbol,AU040320
