parameter_name,Right total retinal thickness
gene_symbol,Cds2
mouse_life_stage,Early adult
analysis_id,x38ym7z84um9ub8
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:1332236
pvalue,0.6781275
mouse_strain,C57BL
