analysis_id,281433k7hou7c1n
pvalue,0.197614
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,RR
mouse_life_stage,Early adult
