parameter_name,Heart weight
gene_symbol,Cpa3
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
analysis_id,i8f1j93gsop74uk
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
pvalue,0.1712205
