analysis_id,hm1r5p256sfqdv0
parameter_name,Center average speed
parameter_id,JAX_OFD_017_001
gene_accession_id,MGI:1925049
gene_symbol,Sla2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2134296
