gene_symbol,Steap3
gene_accession_id,MGI:1915678
analysis_id,f60374i8838md95
pvalue,0.9286521
mouse_strain,C57BL
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_BMI_014_001
