analysis_id,40545pqmj6a6pvv
pvalue,0.376512
gene_accession_id,MGI:105073
parameter_id,IMPC_CBC_013_001
gene_symbol,Tnni1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alanine aminotransferase
