parameter_name,Fat mass
mouse_strain,C57BL
gene_symbol,ZMYND19
pvalue,0.73741
analysis_id,331755a6194rx3b
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
