analysis_id,64l9272t2c249l3
mouse_strain,C57BL
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
parameter_name,Eye
pvalue,0.2547308
