analysis_id,b42g4351ah8zqi4
parameter_name,Time mobile light side
pvalue,0.5275073
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
parameter_id,JAX_LDT_003_001
