analysis_id,6yo700mch77882z
pvalue,0.4306198
parameter_name,Humerus
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
