parameter_id,IMPC_FEA_106_001
mouse_life_stage,Early adult
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
analysis_id,6ka07l4xhe0p26s
mouse_strain,C57BL
pvalue,0.4467934
