parameter_name,Basophil differential count
gene_accession_id,MGI:109356
pvalue,0.4049258
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
parameter_id,IMPC_HEM_038_001
analysis_id,b0403pf7imz6z49
