parameter_name,HRV
parameter_id,IMPC_ECG_010_001
pvalue,0.7298443
analysis_id,u8l00q8279o10kq
mouse_strain,129SV
gene_symbol,Zmynd8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
