parameter_name,Narrow eye opening
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
gene_symbol,Bpifa3
mouse_strain,C57BL
analysis_id,inlmk1p6a337t2f
pvalue,0.1749527
parameter_id,IMPC_EYE_006_001
