parameter_name,Prepulse inhibition - PP3
analysis_id,7p80161cj439sqt
gene_accession_id,MGI:2181659
gene_symbol,Tox
parameter_id,ESLIM_011_001_703
pvalue,0.6179984
mouse_strain,C57BL
mouse_life_stage,Early adult
