parameter_name,Hindlimb nail - number
mouse_strain,C57BL
pvalue,0.0507359
mouse_life_stage,Early adult
gene_symbol,Sprr1b
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:106659
analysis_id,88257t72b340fq9
