parameter_name,Fractional Shortening
gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,IMPC_ECH_005_001
pvalue,0.5919305
analysis_id,4c31gx876ev5s6n
mouse_strain,C57BL
mouse_life_stage,Early adult
