gene_symbol,Ufc1
parameter_name,cDCs CD11b Type
analysis_id,q711cfsfqs2o907
mouse_strain,C57BL
pvalue,0.1990509
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
