analysis_id,t2o44x546684o21
gene_symbol,Nanp
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
parameter_name,Retina (combined)
pvalue,0.9627685
mouse_strain,C57BL
