parameter_name,Anophthalmia
analysis_id,be7uc0481808suc
pvalue,0.09936483
gene_symbol,Lurap1
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
mouse_strain,C55BL
