gene_symbol,Kcng1
mouse_strain,C55BL
pvalue,0.3661357
parameter_name,NK cell number
analysis_id,20983yo8637i6go
parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
