parameter_name,Femur
analysis_id,m15a59q1mt748ao
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
gene_accession_id,MGI:1914583
gene_symbol,Stk35
mouse_strain,C57BL
pvalue,0.174173
