analysis_id,65zc4z3xo49tnhm
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zfp683
parameter_name,Periphery average speed
gene_accession_id,MGI:3650254
parameter_id,JAX_OFD_013_001
pvalue,0.6989097
