analysis_id,sh3i44cs8dic4uc
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
pvalue,0.5985798
parameter_name,Body Weight
gene_symbol,Slc30a4
