analysis_id,sk79nl8f9r5kvs7
mouse_strain,C57BL
gene_accession_id,MGI:1931749
gene_symbol,PUM1
parameter_name,NK cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
pvalue,0.3078581
