analysis_id,yrs0jiuz5lls639
gene_accession_id,MGI:2442483
pvalue,0.7794399
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
mouse_strain,C57BL
gene_symbol,Usp37
