analysis_id,pwnvj5dyds6h3wg
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.1111713
mouse_strain,C57BL
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
gene_symbol,Cmpk1
parameter_id,MGP_IMM_129_001
