mouse_life_stage,E18.5
analysis_id,35mj4wyl67283a5
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
pvalue,0.9496349
gene_accession_id,MGI:2685277
parameter_name,LDL-cholesterol
gene_symbol,Zyg11b
