pvalue,0.2351224
gene_accession_id,MGI:109128
analysis_id,90040d5pm6e2a5j
gene_symbol,Hnf4a
parameter_id,IMPC_XRY_059_001
parameter_name,Shape of ribcage
mouse_strain,C57BL
mouse_life_stage,Late adult
