gene_symbol,Lamb3
analysis_id,u2lc255x21s6l89
gene_accession_id,MGI:99915
pvalue,0.4071674
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
