gene_symbol,Mapkap1
mouse_life_stage,E12.5
pvalue,0.1835063
gene_accession_id,MGI:2444554
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
analysis_id,3125709561z5903
parameter_id,MGP_IMM_073_001
