parameter_name,Eosinophils
mouse_strain,C57BL
analysis_id,njb530w8bd480cc
mouse_life_stage,Early adult
gene_symbol,Lime1
parameter_id,IMPC_IMM_052_001
pvalue,0.4173794
gene_accession_id,MGI:1919949
