analysis_id,f42el7jj304s6rw
gene_symbol,Mapkap1
parameter_name,Periphery average speed
gene_accession_id,MGI:2444554
parameter_id,ESLIM_007_001_009
pvalue,0.3105689
mouse_life_stage,E15.5
mouse_strain,C57BL
