analysis_id,45k8fi2z9r49m03
parameter_id,MGP_CSD_067_001
parameter_name,Snout size
gene_symbol,Lpgat1
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.6359011
gene_accession_id,MGI:2446186
