parameter_name,Periphery resting time
analysis_id,47f9gpd6g8v0y83
gene_symbol,Hnf4a
pvalue,0.196781
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
