analysis_id,hshz82774k50sfj
gene_symbol,Exd1
mouse_strain,C57BL
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
pvalue,0.3930224
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
