gene_symbol,Cisd2
parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,JAX_OFD_017_001
pvalue,0.7747957
analysis_id,l6u6ge1gb68c08x
mouse_life_stage,Early adult
