parameter_name,Creatinine
gene_symbol,Zmynd8
mouse_strain,C57BL
pvalue,0.1720514
analysis_id,a020523i00g54z9
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
