analysis_id,8k8c2yg35s332ed
parameter_id,IMPC_DXA_004_001
pvalue,0.09191187
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Nanp
