analysis_id,5va6z8bn6e5xm59
gene_symbol,Opn3
parameter_name,Body position
pvalue,0.7367079
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
