parameter_name,Periphery average speed
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
analysis_id,0371u00z6j471l1
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
gene_symbol,Atg4c
pvalue,0.4456872
