gene_symbol,Nanp
pvalue,0.1812885
mouse_life_stage,Early adult
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:1914561
analysis_id,j5bnfbvv50gi644
parameter_name,Snout size
mouse_strain,C57BL
