analysis_id,ywrfc2v65f5lvr5
pvalue,0.7276774
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1931322
gene_symbol,Car13
mouse_strain,C57BL
