analysis_id,uy8c0747ck727hv
gene_accession_id,MGI:2651854
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
mouse_life_stage,Early adult
pvalue,0.4122682
gene_symbol,Atg4c
mouse_strain,C57BL
