mouse_strain,C57BL
pvalue,0.4571563
gene_symbol,Opn3
parameter_id,ESLIM_001_001_117
analysis_id,uh6w08tzf22541r
parameter_name,eye size
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
